studio_name,year,quarter,blog_score
Lightbend CoE,2016,Q1,20.0
Lightbend CoE,2016,Q2,10.0
Lightbend CoE,2016,Q3,15.0
Lightbend CoE,2016,Q4,15.0
Lightbend CoE,2017,Q1,10.0
Lightbend CoE,2017,Q2,15.0
Lightbend CoE,2017,Q3,10.0
Lightbend CoE,2017,Q4,10.0
Lightbend CoE,2018,Q1,5.0
Lightbend CoE,2018,Q2,20.0
Lightbend CoE,2019,Q1,5.0
Lightbend CoE,2019,Q2,10.0
Lightbend CoE,2019,Q3,0.0
Lightbend CoE,2019,Q4,0.0
Lightbend CoE,2020,Q1,0.0
Lightbend CoE,2020,Q2,40.0
Lightbend CoE,2020,Q3,10.0
Lightbend CoE,2020,Q4,10.0
Lightbend CoE,2021,Q1,20.0
Lightbend CoE,2021,Q2,3.3333333333333335
Lightbend CoE,2021,Q3,5.0
Lightbend CoE,2021,Q4,5.0
Management,2010,Q2,70.0
Management,2010,Q3,95.0
Management,2010,Q4,95.0
Management,2011,Q1,55.0
Management,2011,Q2,60.0
Management,2011,Q3,35.0
Management,2011,Q4,35.0
Management,2012,Q1,20.0
Management,2012,Q2,5.0
Management,2012,Q3,35.0
Management,2012,Q4,35.0
Management,2013,Q1,25.0
Management,2013,Q2,15.0
Management,2013,Q3,15.0
Management,2013,Q4,15.0
Management,2014,Q1,25.0
Management,2014,Q2,15.0
Management,2014,Q3,5.0
Management,2014,Q4,5.0
Management,2015,Q2,5.0
Management,2015,Q3,15.0
Management,2015,Q4,15.0
Management,2016,Q1,25.0
Management,2016,Q2,15.0
Management,2016,Q3,15.0
Management,2016,Q4,15.0
Management,2017,Q1,10.0
Management,2017,Q2,5.0
Management,2017,Q3,10.0
Management,2017,Q4,10.0
Management,2018,Q1,5.0
Management,2018,Q2,5.0
Management,2018,Q3,5.0
Management,2018,Q4,5.0
Management,2019,Q1,35.0
Management,2019,Q2,10.0
Management,2019,Q3,5.0
Management,2019,Q4,5.0
Management,2020,Q1,7.5
Management,2020,Q2,10.0
Management,2020,Q3,5.0
Management,2020,Q4,5.0
Management,2021,Q1,5.0
Management,2022,Q1,5.0
Marketing,2018,Q2,10.0
Marketing,2018,Q3,5.0
Marketing,2018,Q4,5.0
Marketing,2019,Q1,5.0
Marketing,2019,Q2,10.0
Marketing,2019,Q3,5.0
Marketing,2019,Q4,5.0
Marketing,2020,Q1,10.0
Marketing,2020,Q2,25.0
Marketing,2020,Q3,20.0
Marketing,2020,Q4,20.0
Marketing,2021,Q1,20.0
Marketing,2021,Q2,7.5
Marketing,2021,Q3,35.0
Marketing,2021,Q4,35.0
Rust Studio,2019,Q1,40.0
Rust Studio,2019,Q2,10.0
Rust Studio,2019,Q3,25.0
Rust Studio,2019,Q4,25.0
Rust Studio,2020,Q1,0.0
Rust Studio,2020,Q2,15.0
Rust Studio,2020,Q3,10.0
Rust Studio,2020,Q4,10.0
Rust Studio,2021,Q1,15.0
Rust Studio,2021,Q2,22.5
Rust Studio,2021,Q3,28.333333333333332
Rust Studio,2021,Q4,28.333333333333332
Rust Studio,2022,Q1,5.0
Scala Studio,2014,Q1,10.0
Scala Studio,2014,Q2,10.0
Scala Studio,2014,Q3,15.0
Scala Studio,2014,Q4,15.0
Scala Studio,2015,Q2,10.0
Scala Studio,2015,Q3,5.0
Scala Studio,2015,Q4,5.0
Scala Studio,2016,Q1,12.5
Scala Studio,2016,Q2,5.0
Scala Studio,2016,Q3,7.5
Scala Studio,2016,Q4,7.5
Scala Studio,2017,Q1,11.25
Scala Studio,2017,Q2,6.25
Scala Studio,2017,Q3,6.0
Scala Studio,2017,Q4,6.0
Scala Studio,2018,Q1,16.25
Scala Studio,2018,Q2,7.5
Scala Studio,2018,Q3,2.5
Scala Studio,2018,Q4,2.5
Scala Studio,2019,Q1,6.25
Scala Studio,2019,Q2,8.0
Scala Studio,2019,Q3,1.6666666666666667
Scala Studio,2019,Q4,1.6666666666666667
Scala Studio,2020,Q1,5.0
Scala Studio,2020,Q2,22.0
Scala Studio,2020,Q3,18.0
Scala Studio,2020,Q4,18.0
Scala Studio,2021,Q1,8.0
Scala Studio,2021,Q2,21.0
Scala Studio,2021,Q3,36.0
Scala Studio,2021,Q4,36.0
Scala Studio,2022,Q1,4.0
Testing Automation Studio,2016,Q1,5.0
Testing Automation Studio,2017,Q1,10.0
Testing Automation Studio,2018,Q1,0.0
Testing Automation Studio,2018,Q2,0.0
Testing Automation Studio,2018,Q3,0.0
Testing Automation Studio,2018,Q4,0.0
Testing Automation Studio,2019,Q2,0.0
Testing Automation Studio,2019,Q3,0.0
Testing Automation Studio,2019,Q4,0.0
Testing Automation Studio,2020,Q1,8.333333333333334
Testing Automation Studio,2020,Q2,17.5
Testing Automation Studio,2020,Q3,11.25
Testing Automation Studio,2020,Q4,11.25
Testing Automation Studio,2021,Q1,16.0
Testing Automation Studio,2021,Q2,18.333333333333332
Testing Automation Studio,2021,Q3,8.333333333333334
Testing Automation Studio,2021,Q4,8.333333333333334
Testing Automation Studio,2022,Q1,11.0
