studio_name,year,quarter,total_score
Rust Studio,2021.0,Q1,105.0
Rust Studio,2021.0,Q2,35.0
Rust Studio,2021.0,Q3,85.0
Rust Studio,2021.0,Q4,85.0
Scala Studio,2014.0,Q1,10.0
Scala Studio,2014.0,Q2,10.0
Scala Studio,2014.0,Q3,15.0
Scala Studio,2014.0,Q4,15.0
Scala Studio,2015.0,Q2,10.0
Scala Studio,2015.0,Q3,5.0
Scala Studio,2015.0,Q4,5.0
Scala Studio,2016.0,Q1,15.0
Scala Studio,2016.0,Q2,5.0
Scala Studio,2016.0,Q3,10.0
Scala Studio,2016.0,Q4,10.0
Scala Studio,2017.0,Q1,25.0
Scala Studio,2017.0,Q2,30.0
Scala Studio,2017.0,Q3,30.0
Scala Studio,2017.0,Q4,30.0
Scala Studio,2018.0,Q1,40.0
Scala Studio,2018.0,Q2,15.0
Scala Studio,2018.0,Q3,80.0
Scala Studio,2018.0,Q4,80.0
Scala Studio,2019.0,Q1,105.0
Scala Studio,2019.0,Q2,85.0
Scala Studio,2019.0,Q3,95.0
Scala Studio,2019.0,Q4,95.0
Scala Studio,2020.0,Q1,50.0
Scala Studio,2020.0,Q2,160.0
Scala Studio,2020.0,Q3,175.0
Scala Studio,2020.0,Q4,175.0
Scala Studio,2021.0,Q1,115.0
Scala Studio,2021.0,Q2,115.0
Scala Studio,2021.0,Q3,155.0
Scala Studio,2021.0,Q4,155.0
Scala Studio,2022.0,Q1,675.0
Scala Studio,2022.0,Q2,40.0
Test Automation Studio,2016.0,Q1,5.0
Test Automation Studio,2017.0,Q1,30.0
Test Automation Studio,2018.0,Q1,40.0
Test Automation Studio,2018.0,Q2,20.0
Test Automation Studio,2018.0,Q3,20.0
Test Automation Studio,2018.0,Q4,20.0
Test Automation Studio,2019.0,Q2,20.0
Test Automation Studio,2019.0,Q3,20.0
Test Automation Studio,2019.0,Q4,20.0
Test Automation Studio,2020.0,Q1,30.0
Test Automation Studio,2020.0,Q2,30.0
Test Automation Studio,2020.0,Q3,40.0
Test Automation Studio,2020.0,Q4,40.0
Test Automation Studio,2021.0,Q1,75.0
Test Automation Studio,2021.0,Q2,115.0
Test Automation Studio,2021.0,Q3,35.0
Test Automation Studio,2021.0,Q4,35.0
Test Automation Studio,2022.0,Q1,165.0
Test Automation Studio,2022.0,Q2,100.0
