,year,quarter,oscontribution_score,studio_name
156,2020,Q1,0,Testing Automation Studio
159,2020,Q2,0,Testing Automation Studio
163,2020,Q3,0,Testing Automation Studio
167,2020,Q4,0,Testing Automation Studio
171,2021,Q1,0,Testing Automation Studio
176,2021,Q2,0,Testing Automation Studio
179,2021,Q3,0,Testing Automation Studio
182,2021,Q4,0,Testing Automation Studio
185,2022,Q1,0,Testing Automation Studio
190,2019,Q1,0,DevOps Studio
191,2019,Q2,0,DevOps Studio
193,2019,Q3,0,DevOps Studio
195,2019,Q4,0,DevOps Studio
197,2020,Q1,30,DevOps Studio
198,2020,Q2,0,DevOps Studio
203,2020,Q3,30,DevOps Studio
204,2020,Q4,30,DevOps Studio
205,2021,Q1,30,DevOps Studio
206,2021,Q2,120,DevOps Studio
207,2021,Q3,630,DevOps Studio
208,2021,Q4,630,DevOps Studio
209,2022,Q1,1230,DevOps Studio
210,2018,Q2,0,Marketing
211,2018,Q3,0,Marketing
212,2018,Q4,0,Marketing
213,2019,Q1,0,Marketing
214,2019,Q2,0,Marketing
215,2019,Q3,0,Marketing
216,2019,Q4,0,Marketing
217,2020,Q1,0,Marketing
218,2020,Q2,0,Marketing
219,2020,Q3,0,Marketing
220,2020,Q4,0,Marketing
221,2021,Q1,0,Marketing
222,2021,Q2,0,Marketing
224,2021,Q3,0,Marketing
225,2021,Q4,0,Marketing
226,2014,Q1,0,Lightbend CoE
227,2014,Q2,0,Lightbend CoE
228,2014,Q3,0,Lightbend CoE
229,2014,Q4,0,Lightbend CoE
230,2015,Q1,0,Lightbend CoE
231,2015,Q2,0,Lightbend CoE
232,2015,Q3,0,Lightbend CoE
233,2015,Q4,0,Lightbend CoE
234,2016,Q1,30,Lightbend CoE
235,2016,Q2,0,Lightbend CoE
236,2016,Q3,0,Lightbend CoE
237,2016,Q4,0,Lightbend CoE
238,2017,Q1,0,Lightbend CoE
239,2017,Q2,0,Lightbend CoE
240,2017,Q3,0,Lightbend CoE
241,2017,Q4,0,Lightbend CoE
242,2018,Q1,0,Lightbend CoE
243,2018,Q2,0,Lightbend CoE
244,2019,Q1,0,Lightbend CoE
245,2019,Q2,0,Lightbend CoE
246,2019,Q3,0,Lightbend CoE
247,2019,Q4,0,Lightbend CoE
248,2020,Q1,0,Lightbend CoE
249,2020,Q2,0,Lightbend CoE
250,2020,Q3,0,Lightbend CoE
251,2020,Q4,0,Lightbend CoE
252,2021,Q1,0,Lightbend CoE
253,2021,Q2,0,Lightbend CoE
256,2021,Q3,0,Lightbend CoE
258,2021,Q4,0,Lightbend CoE
260,2014,Q1,0,Management
261,2014,Q2,0,Management
262,2014,Q3,0,Management
263,2014,Q4,0,Management
264,2015,Q2,0,Management
265,2015,Q3,0,Management
266,2015,Q4,0,Management
267,2016,Q1,0,Management
268,2016,Q2,0,Management
269,2016,Q3,0,Management
270,2016,Q4,0,Management
271,2017,Q1,0,Management
272,2017,Q2,0,Management
273,2017,Q3,0,Management
274,2017,Q4,0,Management
275,2018,Q1,0,Management
276,2018,Q2,0,Management
277,2018,Q3,0,Management
278,2018,Q4,0,Management
279,2019,Q1,0,Management
280,2019,Q2,0,Management
282,2019,Q3,0,Management
283,2019,Q4,0,Management
284,2020,Q1,0,Management
286,2020,Q2,0,Management
288,2020,Q3,0,Management
289,2020,Q4,0,Management
290,2021,Q1,0,Management
291,2022,Q1,0,Management
292,2010,Q2,0,Management
293,2010,Q3,0,Management
294,2010,Q4,0,Management
295,2011,Q1,0,Management
296,2011,Q2,0,Management
297,2011,Q3,0,Management
298,2011,Q4,0,Management
299,2012,Q1,0,Management
300,2012,Q2,0,Management
301,2012,Q3,0,Management
302,2012,Q4,0,Management
303,2013,Q1,0,Management
304,2013,Q2,0,Management
305,2013,Q3,0,Management
306,2013,Q4,0,Management
307,2020,Q1,0,AI/ML Studio
308,2020,Q2,0,AI/ML Studio
311,2020,Q3,0,AI/ML Studio
312,2020,Q4,0,AI/ML Studio
313,2021,Q1,0,AI/ML Studio
314,2021,Q2,0,AI/ML Studio
320,2021,Q3,60,AI/ML Studio
321,2021,Q4,60,AI/ML Studio
322,2022,Q1,0,AI/ML Studio
326,2019,Q1,0,Rust Studio
327,2019,Q2,30,Rust Studio
328,2019,Q3,30,Rust Studio
329,2019,Q4,30,Rust Studio
330,2020,Q1,30,Rust Studio
331,2020,Q2,30,Rust Studio
332,2020,Q3,90,Rust Studio
333,2020,Q4,90,Rust Studio
334,2021,Q1,60,Rust Studio
335,2021,Q2,0,Rust Studio
337,2021,Q3,0,Rust Studio
340,2021,Q4,0,Rust Studio
343,2022,Q1,0,Rust Studio
344,2016,Q2,0,Engineering Operations
345,2018,Q1,0,Engineering Operations
346,2019,Q1,0,Engineering Operations
347,2019,Q2,0,Engineering Operations
348,2019,Q3,0,Engineering Operations
349,2019,Q4,0,Engineering Operations
350,2020,Q1,0,Engineering Operations
351,2021,Q1,0,Engineering Operations
352,2022,Q1,30,Engineering Operations
353,2019,Q1,0,Frontend Studio
354,2019,Q2,0,Frontend Studio
355,2019,Q3,0,Frontend Studio
356,2019,Q4,0,Frontend Studio
357,2020,Q2,0,Frontend Studio
359,2020,Q3,0,Frontend Studio
361,2020,Q4,0,Frontend Studio
363,2021,Q2,0,Frontend Studio
368,2021,Q3,0,Frontend Studio
373,2021,Q4,0,Frontend Studio
378,2022,Q1,60,Frontend Studio
380,2020,Q2,0,Account Management
381,2022,Q1,180,Account Management
382,2021,Q2,0,Learning and Development
383,2021,Q3,0,Learning and Development
384,2021,Q4,0,Learning and Development
385,2021,Q2,0,Agile Studio
386,2021,Q3,0,Agile Studio
389,2021,Q4,0,Agile Studio
392,2022,Q1,0,Agile Studio
393,2022,Q1,0,Interns
