studio_name,year,quarter,techhub_score
Testing Automation Studio,2016,Q1,0.0
Testing Automation Studio,2017,Q1,0.0
Testing Automation Studio,2018,Q1,0.0
Testing Automation Studio,2018,Q2,0.0
Testing Automation Studio,2018,Q3,0.0
Testing Automation Studio,2018,Q4,0.0
Testing Automation Studio,2019,Q2,0.0
Testing Automation Studio,2019,Q3,0.0
Testing Automation Studio,2019,Q4,0.0
Testing Automation Studio,2020,Q1,5.0
Testing Automation Studio,2020,Q2,0.0
Testing Automation Studio,2020,Q3,7.5
Testing Automation Studio,2020,Q4,7.5
Testing Automation Studio,2021,Q1,12.0
Testing Automation Studio,2021,Q2,60.0
Testing Automation Studio,2021,Q3,10.0
Testing Automation Studio,2021,Q4,10.0
Testing Automation Studio,2022,Q1,15.0
