studio_name,year,quarter,conference_score
Java Studio,2021,Q3,0
Java Studio,2021,Q4,0
Java Studio,2022,Q1,0
Learning and Development,2021,Q2,0
Learning and Development,2021,Q3,0
Learning and Development,2021,Q4,0
Lightbend CoE,2014,Q1,0
Lightbend CoE,2014,Q2,0
Lightbend CoE,2014,Q3,0
Lightbend CoE,2014,Q4,0
Lightbend CoE,2015,Q1,0
Lightbend CoE,2015,Q2,0
Lightbend CoE,2015,Q3,0
Lightbend CoE,2015,Q4,0
Lightbend CoE,2016,Q1,0
Lightbend CoE,2016,Q2,0
Lightbend CoE,2016,Q3,0
Lightbend CoE,2016,Q4,0
Lightbend CoE,2017,Q1,0
Lightbend CoE,2017,Q2,0
Lightbend CoE,2017,Q3,0
Lightbend CoE,2017,Q4,0
Lightbend CoE,2018,Q1,0
Lightbend CoE,2018,Q2,0
Lightbend CoE,2019,Q1,0
Lightbend CoE,2019,Q2,0
Lightbend CoE,2019,Q3,0
Lightbend CoE,2019,Q4,0
Lightbend CoE,2020,Q1,0
Lightbend CoE,2020,Q2,0
Lightbend CoE,2020,Q3,0
Lightbend CoE,2020,Q4,0
Lightbend CoE,2021,Q1,0
Lightbend CoE,2021,Q2,0
Lightbend CoE,2021,Q3,0
Lightbend CoE,2021,Q4,0
Management,2010,Q2,0
Management,2010,Q3,0
Management,2010,Q4,0
Management,2011,Q1,0
Management,2011,Q2,0
Management,2011,Q3,0
Management,2011,Q4,0
Management,2012,Q1,0
Management,2012,Q2,0
Management,2012,Q3,0
Management,2012,Q4,0
Management,2013,Q1,0
Management,2013,Q2,0
Management,2013,Q3,0
Management,2013,Q4,0
Management,2014,Q1,0
Management,2014,Q2,0
Management,2014,Q3,0
Management,2014,Q4,0
Management,2015,Q2,0
Management,2015,Q3,0
Management,2015,Q4,0
Management,2016,Q1,0
Management,2016,Q2,0
Management,2016,Q3,0
Management,2016,Q4,0
Management,2017,Q1,0
Management,2017,Q2,0
Management,2017,Q3,0
Management,2017,Q4,0
Management,2018,Q1,0
Management,2018,Q2,0
Management,2018,Q3,0
Management,2018,Q4,0
Management,2019,Q1,0
Management,2019,Q2,0
Management,2019,Q3,0
Management,2019,Q4,0
Management,2020,Q1,0
Management,2020,Q2,0
Management,2020,Q3,0
Management,2020,Q4,0
Management,2021,Q1,0
Management,2022,Q1,0
Marketing,2018,Q2,0
Marketing,2018,Q3,0
Marketing,2018,Q4,0
Marketing,2019,Q1,0
Marketing,2019,Q2,0
Marketing,2019,Q3,0
Marketing,2019,Q4,0
Marketing,2020,Q1,0
Marketing,2020,Q2,0
Marketing,2020,Q3,0
Marketing,2020,Q4,0
Marketing,2021,Q1,0
Marketing,2021,Q2,0
Marketing,2021,Q3,0
Marketing,2021,Q4,0
Rust Studio,2019,Q1,0
Rust Studio,2019,Q2,0
Rust Studio,2019,Q3,0
Rust Studio,2019,Q4,0
Rust Studio,2020,Q1,0
Rust Studio,2020,Q2,0
Rust Studio,2020,Q3,0
Rust Studio,2020,Q4,0
Rust Studio,2021,Q1,0
Rust Studio,2021,Q2,0
Rust Studio,2021,Q3,0
Rust Studio,2021,Q4,0
Rust Studio,2022,Q1,0
Scala Studio,2014,Q1,0
Scala Studio,2014,Q2,0
Scala Studio,2014,Q3,0
Scala Studio,2014,Q4,0
Scala Studio,2015,Q2,0
Scala Studio,2015,Q3,0
Scala Studio,2015,Q4,0
Scala Studio,2016,Q1,0
Scala Studio,2016,Q2,0
Scala Studio,2016,Q3,0
Scala Studio,2016,Q4,0
Scala Studio,2017,Q1,0
Scala Studio,2017,Q2,0
Scala Studio,2017,Q3,0
Scala Studio,2017,Q4,0
Scala Studio,2018,Q1,0
Scala Studio,2018,Q2,0
Scala Studio,2018,Q3,0
Scala Studio,2018,Q4,0
Scala Studio,2019,Q1,0
Scala Studio,2019,Q2,0
Scala Studio,2019,Q3,0
Scala Studio,2019,Q4,0
Scala Studio,2020,Q1,0
Scala Studio,2020,Q2,0
Scala Studio,2020,Q3,20
Scala Studio,2020,Q4,20
Scala Studio,2021,Q1,0
Scala Studio,2021,Q2,0
Scala Studio,2021,Q3,0
Scala Studio,2021,Q4,0
Scala Studio,2022,Q1,0
Testing Automation Studio,2016,Q1,0
Testing Automation Studio,2017,Q1,0
Testing Automation Studio,2018,Q1,0
Testing Automation Studio,2018,Q2,0
Testing Automation Studio,2018,Q3,0
Testing Automation Studio,2018,Q4,0
Testing Automation Studio,2019,Q2,0
Testing Automation Studio,2019,Q3,0
Testing Automation Studio,2019,Q4,0
Testing Automation Studio,2020,Q1,0
Testing Automation Studio,2020,Q2,0
Testing Automation Studio,2020,Q3,0
Testing Automation Studio,2020,Q4,0
Testing Automation Studio,2021,Q1,0
Testing Automation Studio,2021,Q2,0
Testing Automation Studio,2021,Q3,0
Testing Automation Studio,2021,Q4,0
Testing Automation Studio,2022,Q1,0
