studio_name,year,quarter,knolx_score
Lightbend CoE,2014.0,Q1,0.0
Lightbend CoE,2014.0,Q2,0.0
Lightbend CoE,2014.0,Q3,0.0
Lightbend CoE,2014.0,Q4,0.0
Lightbend CoE,2015.0,Q1,0.0
Lightbend CoE,2015.0,Q2,0.0
Lightbend CoE,2015.0,Q3,0.0
Lightbend CoE,2015.0,Q4,0.0
Lightbend CoE,2016.0,Q1,0.0
Lightbend CoE,2016.0,Q2,0.0
Lightbend CoE,2016.0,Q3,0.0
Lightbend CoE,2016.0,Q4,0.0
Lightbend CoE,2017.0,Q1,0.0
Lightbend CoE,2017.0,Q2,0.0
Lightbend CoE,2017.0,Q3,20.0
Lightbend CoE,2017.0,Q4,20.0
Lightbend CoE,2018.0,Q1,0.0
Lightbend CoE,2018.0,Q2,20.0
Lightbend CoE,2019.0,Q1,20.0
Lightbend CoE,2019.0,Q2,0.0
Lightbend CoE,2019.0,Q3,20.0
Lightbend CoE,2019.0,Q4,20.0
Lightbend CoE,2020.0,Q1,20.0
Lightbend CoE,2020.0,Q2,20.0
Lightbend CoE,2020.0,Q3,0.0
Lightbend CoE,2020.0,Q4,0.0
Lightbend CoE,2021.0,Q1,0.0
Lightbend CoE,2021.0,Q2,0.0
Lightbend CoE,2021.0,Q3,0.0
Lightbend CoE,2021.0,Q4,0.0
Lightbend CoE,2022.0,Q1,0.0
Management,2010.0,Q2,0.0
Management,2010.0,Q3,0.0
Management,2010.0,Q4,0.0
Management,2011.0,Q1,0.0
Management,2011.0,Q2,0.0
Management,2011.0,Q3,0.0
Management,2011.0,Q4,0.0
Management,2012.0,Q1,0.0
Management,2012.0,Q2,0.0
Management,2012.0,Q3,0.0
Management,2012.0,Q4,0.0
Management,2013.0,Q1,0.0
Management,2013.0,Q2,0.0
Management,2013.0,Q3,0.0
Management,2013.0,Q4,0.0
Management,2014.0,Q1,0.0
Management,2014.0,Q2,0.0
Management,2014.0,Q3,0.0
Management,2014.0,Q4,0.0
Management,2015.0,Q2,0.0
Management,2015.0,Q3,0.0
Management,2015.0,Q4,0.0
Management,2016.0,Q1,0.0
Management,2016.0,Q2,0.0
Management,2016.0,Q3,0.0
Management,2016.0,Q4,0.0
Management,2017.0,Q1,0.0
Management,2017.0,Q2,0.0
Management,2017.0,Q3,0.0
Management,2017.0,Q4,0.0
Management,2018.0,Q1,0.0
Management,2018.0,Q2,0.0
Management,2018.0,Q3,0.0
Management,2018.0,Q4,0.0
Management,2019.0,Q1,0.0
Management,2019.0,Q2,0.0
Management,2019.0,Q3,0.0
Management,2019.0,Q4,0.0
Management,2020.0,Q1,0.0
Management,2020.0,Q2,0.0
Management,2020.0,Q3,0.0
Management,2020.0,Q4,0.0
Management,2021.0,Q1,0.0
Management,2022.0,Q1,0.0
Marketing,2018.0,Q2,0.0
Marketing,2018.0,Q3,0.0
Marketing,2018.0,Q4,0.0
Marketing,2019.0,Q1,0.0
Marketing,2019.0,Q2,0.0
Marketing,2019.0,Q3,0.0
Marketing,2019.0,Q4,0.0
Marketing,2020.0,Q1,0.0
Marketing,2020.0,Q2,0.0
Marketing,2020.0,Q3,0.0
Marketing,2020.0,Q4,0.0
Marketing,2021.0,Q1,0.0
Marketing,2021.0,Q2,0.0
Marketing,2021.0,Q3,0.0
Marketing,2021.0,Q4,0.0
Rust Studio,2019.0,Q1,0.0
Rust Studio,2019.0,Q2,0.0
Rust Studio,2019.0,Q3,0.0
Rust Studio,2019.0,Q4,0.0
Rust Studio,2020.0,Q1,0.0
Rust Studio,2020.0,Q2,0.0
Rust Studio,2020.0,Q3,0.0
Rust Studio,2020.0,Q4,0.0
Rust Studio,2021.0,Q1,0.0
Rust Studio,2021.0,Q2,0.0
Rust Studio,2021.0,Q3,0.0
Rust Studio,2021.0,Q4,0.0
Scala Studio,2014.0,Q1,0.0
Scala Studio,2014.0,Q2,0.0
Scala Studio,2014.0,Q3,0.0
Scala Studio,2014.0,Q4,0.0
Scala Studio,2015.0,Q2,0.0
Scala Studio,2015.0,Q3,0.0
Scala Studio,2015.0,Q4,0.0
Scala Studio,2016.0,Q1,0.0
Scala Studio,2016.0,Q2,0.0
Scala Studio,2016.0,Q3,0.0
Scala Studio,2016.0,Q4,0.0
Scala Studio,2017.0,Q1,0.0
Scala Studio,2017.0,Q2,5.0
Scala Studio,2017.0,Q3,8.0
Scala Studio,2017.0,Q4,8.0
Scala Studio,2018.0,Q1,5.0
Scala Studio,2018.0,Q2,0.0
Scala Studio,2018.0,Q3,60.0
Scala Studio,2018.0,Q4,60.0
Scala Studio,2019.0,Q1,0.0
Scala Studio,2019.0,Q2,4.0
Scala Studio,2019.0,Q3,0.0
Scala Studio,2019.0,Q4,0.0
Scala Studio,2020.0,Q1,4.444444444444445
Scala Studio,2020.0,Q2,4.0
Scala Studio,2020.0,Q3,13.333333333333334
Scala Studio,2020.0,Q4,13.333333333333334
Scala Studio,2021.0,Q1,20.0
Scala Studio,2021.0,Q2,13.333333333333334
Scala Studio,2021.0,Q3,20.0
Scala Studio,2021.0,Q4,20.0
Scala Studio,2022.0,Q1,26.0
Scala Studio,2022.0,Q2,24.0
Test Automation Studio,2016.0,Q1,0.0
Test Automation Studio,2017.0,Q1,20.0
Test Automation Studio,2018.0,Q1,40.0
Test Automation Studio,2018.0,Q2,20.0
Test Automation Studio,2018.0,Q3,20.0
Test Automation Studio,2018.0,Q4,20.0
Test Automation Studio,2019.0,Q2,20.0
Test Automation Studio,2019.0,Q3,20.0
Test Automation Studio,2019.0,Q4,20.0
Test Automation Studio,2020.0,Q1,6.666666666666667
Test Automation Studio,2020.0,Q2,0.0
Test Automation Studio,2020.0,Q3,0.0
Test Automation Studio,2020.0,Q4,0.0
Test Automation Studio,2021.0,Q1,8.0
Test Automation Studio,2021.0,Q2,13.333333333333334
Test Automation Studio,2021.0,Q3,0.0
Test Automation Studio,2021.0,Q4,0.0
Test Automation Studio,2022.0,Q1,4.0
Test Automation Studio,2022.0,Q2,10.0
