studio_name,year,quarter,total_score
Java Studio,2018.0,Q4,15.0
Java Studio,2019.0,Q1,40.0
Java Studio,2019.0,Q2,5.0
Java Studio,2019.0,Q3,45.0
Java Studio,2019.0,Q4,45.0
Java Studio,2020.0,Q1,55.0
Java Studio,2020.0,Q2,52.0
Java Studio,2020.0,Q3,41.0
Java Studio,2020.0,Q4,41.0
Java Studio,2021.0,Q1,14.166666666666666
Java Studio,2021.0,Q2,35.0
Java Studio,2021.0,Q3,21.875
Java Studio,2021.0,Q4,21.875
Java Studio,2022.0,Q1,101.66666666666667
Java Studio,2022.0,Q2,6.153846153846154
Learning and Development,2021.0,Q2,25.0
Learning and Development,2021.0,Q3,40.0
Learning and Development,2021.0,Q4,40.0
Lightbend CoE,2014.0,Q1,15.0
Lightbend CoE,2014.0,Q2,55.0
Lightbend CoE,2014.0,Q3,20.0
Lightbend CoE,2014.0,Q4,20.0
Lightbend CoE,2015.0,Q1,5.0
Lightbend CoE,2015.0,Q2,10.0
Lightbend CoE,2015.0,Q3,5.0
Lightbend CoE,2015.0,Q4,5.0
Lightbend CoE,2016.0,Q1,50.0
Lightbend CoE,2016.0,Q2,10.0
Lightbend CoE,2016.0,Q3,15.0
Lightbend CoE,2016.0,Q4,15.0
Lightbend CoE,2017.0,Q1,10.0
Lightbend CoE,2017.0,Q2,15.0
Lightbend CoE,2017.0,Q3,30.0
Lightbend CoE,2017.0,Q4,30.0
Lightbend CoE,2018.0,Q1,5.0
Lightbend CoE,2018.0,Q2,40.0
Lightbend CoE,2019.0,Q1,25.0
Lightbend CoE,2019.0,Q2,10.0
Lightbend CoE,2019.0,Q3,110.0
Lightbend CoE,2019.0,Q4,110.0
Lightbend CoE,2020.0,Q1,20.0
Lightbend CoE,2020.0,Q2,75.0
Lightbend CoE,2020.0,Q3,10.0
Lightbend CoE,2020.0,Q4,10.0
Lightbend CoE,2021.0,Q1,20.0
Lightbend CoE,2021.0,Q2,8.333333333333334
Lightbend CoE,2021.0,Q3,12.5
Lightbend CoE,2021.0,Q4,12.5
Lightbend CoE,2022.0,Q1,25.0
Management,2010.0,Q2,70.0
Management,2010.0,Q3,95.0
Management,2010.0,Q4,95.0
Management,2011.0,Q1,55.0
Management,2011.0,Q2,60.0
Management,2011.0,Q3,35.0
Management,2011.0,Q4,35.0
Management,2012.0,Q1,20.0
Management,2012.0,Q2,5.0
Management,2012.0,Q3,35.0
Management,2012.0,Q4,35.0
Management,2013.0,Q1,25.0
Management,2013.0,Q2,15.0
Management,2013.0,Q3,15.0
Management,2013.0,Q4,15.0
Management,2014.0,Q1,25.0
Management,2014.0,Q2,15.0
Management,2014.0,Q3,5.0
Management,2014.0,Q4,5.0
Management,2015.0,Q2,5.0
Management,2015.0,Q3,15.0
Management,2015.0,Q4,15.0
Management,2016.0,Q1,25.0
Management,2016.0,Q2,15.0
Management,2016.0,Q3,15.0
Management,2016.0,Q4,15.0
Management,2017.0,Q1,10.0
Management,2017.0,Q2,5.0
Management,2017.0,Q3,10.0
Management,2017.0,Q4,10.0
Management,2018.0,Q1,5.0
Management,2018.0,Q2,5.0
Management,2018.0,Q3,5.0
Management,2018.0,Q4,5.0
Management,2019.0,Q1,35.0
Management,2019.0,Q2,17.5
Management,2019.0,Q3,305.0
Management,2019.0,Q4,305.0
Management,2020.0,Q1,7.5
Management,2020.0,Q2,10.0
Management,2020.0,Q3,5.0
Management,2020.0,Q4,5.0
Management,2021.0,Q1,5.0
Management,2022.0,Q1,5.0
Marketing,2018.0,Q2,10.0
Marketing,2018.0,Q3,5.0
Marketing,2018.0,Q4,5.0
Marketing,2019.0,Q1,5.0
Marketing,2019.0,Q2,10.0
Marketing,2019.0,Q3,5.0
Marketing,2019.0,Q4,5.0
Marketing,2020.0,Q1,10.0
Marketing,2020.0,Q2,25.0
Marketing,2020.0,Q3,20.0
Marketing,2020.0,Q4,20.0
Marketing,2021.0,Q1,20.0
Marketing,2021.0,Q2,7.5
Marketing,2021.0,Q3,35.0
Marketing,2021.0,Q4,35.0
Rust Studio,2019.0,Q1,40.0
Rust Studio,2019.0,Q2,70.0
Rust Studio,2019.0,Q3,235.0
Rust Studio,2019.0,Q4,235.0
Rust Studio,2020.0,Q1,30.0
Rust Studio,2020.0,Q2,175.0
Rust Studio,2020.0,Q3,100.0
Rust Studio,2020.0,Q4,100.0
Rust Studio,2021.0,Q1,105.0
Rust Studio,2021.0,Q2,35.0
Rust Studio,2021.0,Q3,57.5
Rust Studio,2021.0,Q4,57.5
Scala Studio,2014.0,Q1,10.0
Scala Studio,2014.0,Q2,10.0
Scala Studio,2014.0,Q3,15.0
Scala Studio,2014.0,Q4,15.0
Scala Studio,2015.0,Q2,10.0
Scala Studio,2015.0,Q3,5.0
Scala Studio,2015.0,Q4,5.0
Scala Studio,2016.0,Q1,12.5
Scala Studio,2016.0,Q2,5.0
Scala Studio,2016.0,Q3,7.5
Scala Studio,2016.0,Q4,7.5
Scala Studio,2017.0,Q1,11.25
Scala Studio,2017.0,Q2,11.25
Scala Studio,2017.0,Q3,14.0
Scala Studio,2017.0,Q4,14.0
Scala Studio,2018.0,Q1,25.0
Scala Studio,2018.0,Q2,7.5
Scala Studio,2018.0,Q3,62.5
Scala Studio,2018.0,Q4,62.5
Scala Studio,2019.0,Q1,31.25
Scala Studio,2019.0,Q2,30.0
Scala Studio,2019.0,Q3,49.166666666666664
Scala Studio,2019.0,Q4,49.166666666666664
Scala Studio,2020.0,Q1,16.11111111111111
Scala Studio,2020.0,Q2,90.0
Scala Studio,2020.0,Q3,90.83333333333333
Scala Studio,2020.0,Q4,90.83333333333333
Scala Studio,2021.0,Q1,45.833333333333336
Scala Studio,2021.0,Q2,70.0
Scala Studio,2021.0,Q3,113.0
Scala Studio,2021.0,Q4,113.0
Scala Studio,2022.0,Q1,289.0
Scala Studio,2022.0,Q2,36.0
Test Automation Studio,2016.0,Q1,5.0
Test Automation Studio,2017.0,Q1,30.0
Test Automation Studio,2018.0,Q1,40.0
Test Automation Studio,2018.0,Q2,20.0
Test Automation Studio,2018.0,Q3,20.0
Test Automation Studio,2018.0,Q4,20.0
Test Automation Studio,2019.0,Q2,20.0
Test Automation Studio,2019.0,Q3,20.0
Test Automation Studio,2019.0,Q4,20.0
Test Automation Studio,2020.0,Q1,20.0
Test Automation Studio,2020.0,Q2,17.5
Test Automation Studio,2020.0,Q3,18.75
Test Automation Studio,2020.0,Q4,18.75
Test Automation Studio,2021.0,Q1,36.0
Test Automation Studio,2021.0,Q2,91.66666666666667
Test Automation Studio,2021.0,Q3,18.333333333333332
Test Automation Studio,2021.0,Q4,18.333333333333332
Test Automation Studio,2022.0,Q1,97.0
Test Automation Studio,2022.0,Q2,29.166666666666668
